Run number,Start time,Duration,Configuration,Digitizer,Notes,Tracking,ConversionKeySightScope,TimingDAQVME,TimingDAQKeySightScope,EntriesWithTrackScope,EntriesWithHitScope,EntriesWithTrackAndHitScope,EntriesWithTrackWithoutNplanesScope,TimingDAQDT5742,TimingDAQNoTracksVME,TimingDAQNoTracksDT5742,TimingDAQNoTracksKeySightScope,ConversionSampic,ConversionTekScope,TimingDAQSampic,TimingDAQTekScope,TimingDAQNoTracksTekScope,TimingDAQNoTracksSampic,LabviewRecoVME,LabviewRecoDT5742,LabviewRecoKeySightScope,LabviewRecoSampic,LabviewRecoTekScope,Version,Sensor,Sensor copy,Temp13ETL,Temp14ETL,Temp15ETL,Temp16ETL,Temp17ETL,Temp18ETL,Temp19ETL,Temp20ETL,LowVoltage1ETL,LowVoltage2ETL,LowVoltage3ETL,Current1ETL,Current2ETL,Current3ETL,BoxTempOlmo,BoxVoltageOlmo,BoxHumOlmo,BoxCurrentOlmo,BarCurrentOlmo,BarVoltageOlmo,z_rotationOlmo,x_stageOlmo,y_stageOlmo,DQM,HV 1,Time Resolution 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KeySightScope,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KeySightScope,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KeySightScope,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KeySightScope,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KeySightScope,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KeySightScope,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KeySightScope,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KeySightScope,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,72.0,33.3,1.006306e-05,2.564397e-06,43.0,0.0,112.0,N/A,,,
1706,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,,,,"VME,DT5742",,Failed,,Not started,,,,,,Not started,Not started,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,,,,"VME,DT5742",,Failed,,Failed,,,,,,Failed,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,,,,"VME,DT5742",,Complete,,N/A,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,,,1,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,,,,"VME,DT5742",,Complete,,Complete,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,,,,"VME,DT5742",,Complete,,N/A,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6047,2019-04-09 11:25:09.104828,30,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6048,2019-04-09 11:26:09.058161,30,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6049,2019-04-09 11:27:09.063802,30,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6050,2019-04-09 11:30:09.015316,31,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6051,2019-04-09 11:31:09.021256,31,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6052,2019-04-09 11:32:09.050591,30,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6053,2019-04-09 11:33:09.070670,30,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6054,2019-04-09 11:34:09.070406,30,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6055,2019-04-09 11:35:09.062419,30,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,2019-04-09 11:36:09.082095,30,1,"DT5742,KeySightScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,HPK 50D,HPK 50D,,,,,,,,,,,,,,,,,,,,,,,,,,
6057,,,,"DT5742,KeySightScope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6106,2019-04-11 16:08:09.046666,30,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6107,2019-04-11 16:09:09.018738,31,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,2019-04-11 16:10:09.083078,30,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109,2019-04-11 16:11:09.041427,30,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110,2019-04-11 16:12:09.103154,30,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111,2019-04-11 16:32:09.016664,31,1,"VME,DT5742,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Not started,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,2019-04-11 16:33:09.100533,30,1,"VME,DT5742,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Not started,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113,2019-04-11 16:34:09.067905,30,1,"VME,DT5742,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Not started,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6114,2019-04-11 16:35:09.033757,30,1,"VME,DT5742,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Not started,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6121,2019-04-12 23:56:09.026188,30,1,"VME,Sampic",,Processing,N/A,Not started,N/A,,,,,Not started,Not started,Not started,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122,2019-04-12 23:57:09.043996,30,1,"VME,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Not started,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6123,2019-04-12 23:58:09.097336,30,1,"VME,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Not started,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6124,2019-04-12 23:59:09.045801,30,1,"VME,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Complete,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6125,2019-04-13 00:00:09.090376,30,1,"VME,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Complete,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6126,2019-04-13 00:01:09.055976,30,1,"VME,Sampic",,Failed,N/A,Not started,N/A,,,,,Not started,Not started,Complete,N/A,Not started,N/A,Not started,N/A,N/A,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6127,2019-04-13 00:03:09.083721,30,1,"DT5742,TekScope",,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,Not started,N/A,Not started,Not started,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6128,2019-04-13 00:12:09.025309,30,1,"DT5742,TekScope",,Processing,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,Not started,N/A,Not started,Not started,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6140,2019-04-13 02:04:35.093409,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141,2019-04-13 02:05:35.062854,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,2019-04-13 02:06:35.053339,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6143,2019-04-13 02:07:35.099676,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144,2019-04-13 02:08:35.046353,46,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2019-04-13 02:09:35.018809,46,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146,2019-04-13 02:10:35.037542,46,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6147,2019-04-13 02:11:35.044285,46,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6148,2019-04-13 02:12:35.044359,46,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,2019-04-13 02:13:35.021361,46,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,2019-04-13 03:00:35.058844,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6154,2019-04-13 03:01:35.063583,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6155,2019-04-13 03:02:35.058166,45,1,DT5742,,Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6156,2019-04-13 03:03:35.030966,46,1,DT5742,,Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6157,2019-04-13 03:04:35.094893,45,1,DT5742,,Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6158,2019-04-13 03:05:35.082882,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6159,2019-04-13 03:06:35.071308,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160,2019-04-13 03:07:35.101834,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6161,2019-04-13 03:08:35.010770,46,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6162,2019-04-13 03:09:35.082864,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6163,2019-04-13 03:10:35.073664,45,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6164,2019-04-13 03:13:41.041842,103,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6165,2019-04-13 03:15:41.039781,103,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166,2019-04-13 03:20:41.089166,102,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6167,2019-04-13 03:22:41.086854,102,1,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6171,2019-04-13 03:53:41.088056,102,"2,3","DT5742,KeySightScope",,Complete,Failed,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6173,2019-04-13 04:02:41.021722,103,"2,3","DT5742,KeySightScope",,Complete,Failed,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6174,2019-04-13 04:04:41.088414,102,"2,3","DT5742,KeySightScope",,Failed,Failed,N/A,Failed,,,,,Not started,N/A,Not started,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6175,2019-04-13 04:06:41.002316,103,"2,3","DT5742,KeySightScope",,Complete,Failed,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6176,2019-04-13 04:08:41.026458,103,"2,3","DT5742,KeySightScope",,Complete,Failed,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6177,2019-04-13 04:10:41.003682,103,"2,3","DT5742,KeySightScope",,Complete,Failed,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6178,2019-04-13 04:12:41.021384,103,"2,3","DT5742,KeySightScope",,Complete,Failed,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6179,2019-04-13 04:14:41.013305,103,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Processing,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6180,2019-04-13 04:16:41.079153,103,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6181,2019-04-13 04:18:41.010953,103,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6182,2019-04-13 04:20:41.061808,102,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,2019-04-13 04:22:41.012609,103,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6184,2019-04-13 04:24:41.069441,102,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6185,2019-04-13 04:26:41.034183,103,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6186,2019-04-13 04:28:41.005474,103,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6187,2019-04-13 04:30:41.057034,103,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6188,2019-04-13 04:32:41.096759,102,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Processing,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6189,2019-04-13 04:34:41.015338,103,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Processing,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6190,2019-04-13 04:36:41.081986,102,"2,3","DT5742,KeySightScope",,Complete,Complete,N/A,Failed,,,,,Complete,N/A,Complete,Processing,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6194,2019-04-13 04:44:41.050932,103,3,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6195,2019-04-13 04:48:41.042028,103,3,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196,2019-04-13 04:50:41.038202,103,3,DT5742,,Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197,2019-04-13 04:53:41.013091,103,3,DT5742,,Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6200,2019-04-13 05:06:41.029143,103,2,"DT5742,KeySightScope",,Failed,Failed,N/A,Not started,,,,,Not started,N/A,Complete,Not started,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,2019-04-13 05:18:41.020529,103,3,DT5742,,Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6203,2019-04-13 05:20:41.038189,103,3,DT5742,,Failed,N/A,N/A,N/A,,,,,Not started,N/A,Not started,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2019-04-13 05:26:41.093961,103,3,DT5742,,Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,2019-04-13 05:28:41.059919,103,3,DT5742,,Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6207,2019-04-13 05:30:41.041608,103,3,DT5742,"Good run
",Complete,N/A,N/A,N/A,,,,,Complete,N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
